,CC1,CC2,CC3,CC4
0,0.021211919070684513,-0.0006215499502454744,0.04249045148982527,-0.028602312376753373
1,0.018297384636223067,-0.0038587687722412205,0.0242571841338283,-0.02166704984522553
2,0.01064402340841504,-0.0041325732102139535,0.00575270746629868,-0.017284381108572285
3,0.00870322079574587,-0.007462228027036184,-0.006548222729488527,-0.010241988363049494
4,0.007741789526061703,-0.004088225562589998,-0.029184115044429214,-0.010885606361425397
5,0.01082300759510804,-0.010924245558241664,-0.06393378699873017,-0.007781063586748842
6,0.027862359618384954,-0.030445022066845438,-0.07415140700719576,-0.00920499395155613
7,0.027245650180524803,-0.04473929412315445,-0.0631175903018258,-0.009812269093948814
8,0.020256201203091524,-0.040243512121426225,-0.025692896857128635,-0.005657438203664793
9,0.008831113068783442,-0.026447886984557748,-0.007063054896265637,-0.004163383613114943
10,0.008561493104317705,-0.02209523576929104,0.007039046140013509,0.005175428510945657
11,0.009750830675957575,-0.03045079877892735,0.015082669462218343,0.005054053161873449
12,0.01964559161118371,-0.038799601750471056,0.010240658502966554,-0.001362336729433492
13,0.02714919651869959,-0.04372800633505212,0.001433287738005686,-0.0027593671057451244
14,0.018021377392295253,-0.03636184063063136,0.009100927468070464,-0.006031388327361049
15,0.02288703846452119,-0.03706310521823652,0.021966122669768683,-0.0043652433943990624
16,0.031530027940843974,-0.051569636362043265,0.014599445545836831,-0.01474777775311156
17,0.043620534984637124,-0.06584146979659018,-0.004751039771657246,-0.01819405150400128
18,0.047763741660494546,-0.06382283942308499,-0.01652963068912797,-0.02067807314821986
19,0.04716063337818778,-0.05656869372511231,-0.013547786677369946,-0.024037328731142532
20,0.04976770102351065,-0.05780415389962507,0.0037613572173043155,-0.03168350100487968
21,0.04565217009688897,-0.05787009836695258,0.040229573903863,-0.03416563938592394
22,0.032965798232201964,-0.047024954515874226,0.06100263401016877,-0.024080013303122247
23,0.022936586456321986,-0.0068378151078016276,0.05864925530110014,-0.02922638220137187
